"name","address","lng","lat"
"FQHC132","223 Bassett St,King City,Monterey","-121.124566795868,","36.212512246398"
"FQHC133","2240 E Gonzales Rd,Oxnard,Ventura","-119.143176589463,","34.21870381619"
"FQHC134","2240 Gladstone Dr,Pittsburg,Contra Costa","-121.866837561158,","38.006229456451"
"FQHC135","2321 W Whittier Blvd,Montebello,Los Angeles","-118.126105337796,","34.013726369119"
"FQHC136","2325 Commercial St,San Diego,San Diego","-117.142997332353,","32.705184319422"
"FQHC137","23763 Valencia Blvd,Valencia,Los Angeles","-118.549693114848,","34.416009181414"
"FQHC138","2380 Montpelier Dr,San Jose,Santa Clara","-121.847598365769,","37.365109242938"
"FQHC139","23832 Rockfield Blvd,Lake Forest,Orange","-117.716456957301,","33.628597463881"
"FQHC140","240 Shotwell St,San Francisco,San Francisco","-122.41639435904,","37.764573474447"
"FQHC141","2400 Moorpark Ave,San Jose,Santa Clara","-121.936146929237,","37.316050825206"
"FQHC142","2400 S C St,Oxnard,Ventura","-119.181251178443,","34.177838255266"
"FQHC143","2401 W Turner Rd,Lodi,San Joaquin","-121.343073100689,","38.145730063909"
"FQHC144","243 Georgia St,Vallejo,Solano","-122.258932015034,","38.101098004787"
"FQHC145","250 E 18th St,Oakland,Alameda","-122.252665902512,","37.800052534104"
"FQHC146","2500 Alhambra Ave,Martinez,Contra Costa","-122.130907081628,","38.006420935193"
"FQHC147","2505 E Divisadero St,Fresno,Fresno","-119.78125709179,","36.74336776881"
"FQHC148","251 Landis Ave,Chula Vista,San Diego","-117.081505853423,","32.642660683382"
"FQHC149","2515 Main St,Cambria,San Luis Obispo","-121.079588063515,","35.56589951004"
"FQHC150","2600 MacDonald Ave,Richmond,Contra Costa","-122.343672219255,","37.93512487933"
"FQHC151","263 S West St,Tulare,Tulare","-119.366828043301,","36.203182522101"
"FQHC152","2640 E Lafayette St,Stockton,San Joaquin","-121.251238379349,","37.958533244844"
"FQHC153","26926-B Cherry Hills Blvd,Menifee,Riverside","-117.190083567457,","33.710804770884"
"FQHC154","2720 S Bristol St,Santa Ana,Orange","-117.885484665526,","33.710929016065"
"FQHC155","2760 3rd St,CERES,Stanislaus","-120.954461149069,","37.592722829256"
"FQHC156","278 Main St,Hamilton City,Glenn","-122.011717727504,","39.741271577124"
"FQHC157","2790 S Elm Ave,Fresno,Fresno","-119.791140245592,","36.7006761216051"
"FQHC158","2801 Santa Maria Way,Santa Maria,Santa Barbara","-120.434819655786,","34.9088934477872"
"FQHC159","2801 Silver St,Anderson,Shasta","-122.299538275137,","40.447056763937"
"FQHC160","286 Euclid Ave,San Diego,San Diego","-117.085069966194,","32.70791461071"
"FQHC161","2880 Story Rd,San Jose,Santa Clara","-121.822718446407,","37.353673837164"
"FQHC162","29-A Bishop Rd,Pajaro,Monterey","-121.74951997259,","36.901729478248"
"FQHC163","2950 International Blvd,Oakland,Alameda","-122.22853102767,","37.779074163089"
"FQHC164","29632 Hwy 299E,Round Mountain,Shasta","-121.939468853708,","40.80279862551"
